 Proje��o da Popula��o das Unidades da Federa��o por sexo, idade simples ou faixa-et�ria: 2000-2070 (edi��o 2024);;;;;;;;;;;;;;;;;;;;;;;;;;
Popula��o residente por Regi�o/Unidade da Federa��o e Ano;;;;;;;;;;;;;;;;;;;;;;;;;;
Sexo: Masculino, Feminino;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa Et�ria 1: 0 a 4 anos, 5 a 9 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos, 70 a 74 anos, 75 a 79 anos, 80 a 84 anos, 85 a 89 anos, 90 anos e mais;;;;;;;;;;;;;;;;;;;;;;;;;;
Per�odo:2000-2025;;;;;;;;;;;;;;;;;;;;;;;;;;
Regi�o/Unidade da Federa��o;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
.. Paran�;9711359;9818682;9923096;10024500;10123331;10220308;10316959;10408676;10498615;10589094;10665196;10735283;10816975;10907043;11003738;11101864;11195664;11285193;11373980;11468227;11560987;11630298;11686692;11753862;11824665;11890584
.. Santa Catarina;5522167;5607362;5690106;5771181;5851686;5932928;6018706;6103561;6189784;6279130;6365736;6454695;6553841;6659762;6771778;6889914;7011473;7135459;7266127;7403723;7541975;7671648;7796817;7927212;8058441;8186962
.. Rio Grande do Sul;10269487;10352540;10430916;10504486;10573529;10638582;10699033;10751080;10798740;10845002;10879460;10908380;10944672;10985031;11027344;11070711;11109776;11141074;11167531;11194346;11220286;11227789;11220506;11222292;11229915;11233263
Regi�o Centro-Oeste;12118738;12377489;12629107;12873643;13111762;13344533;13576451;13796173;14010845;14224409;14413092;14590444;14783413;14984338;15193306;15405701;15608920;15804681;16000668;16203468;16400560;16570591;16729024;16898404;17071595;17238818
.. Mato Grosso do Sul;2162474;2194851;2227484;2260241;2293097;2326157;2359753;2392064;2425369;2459515;2490254;2520122;2552390;2585456;2619176;2652939;2684756;2715557;2746161;2777028;2806866;2831943;2854377;2878009;2901895;2924631
.. Mato Grosso;2628097;2681943;2733393;2782719;2830188;2876158;2923828;2967696;3010046;3053540;3093944;3133302;3176859;3223484;3274085;3327512;3380091;3433278;3490648;3551996;3611987;3666669;3720967;3778389;3836399;3893659
.. Goi�s;5142445;5253910;5363945;5472469;5579832;5686497;5793069;5896546;5998618;6099136;6184917;6263998;6351217;6441772;6535659;6630429;6720503;6805532;6888446;6974736;7060290;7133954;7201254;7274463;7350483;7423629
.. Distrito Federal;2185722;2246785;2304285;2358214;2408645;2455721;2499801;2539867;2576812;2612218;2643977;2673022;2702947;2733626;2764386;2794821;2823570;2850314;2875413;2899708;2921417;2938025;2952426;2967543;2982818;2996899
Total;174695935;177003743;179228254;181377654;183469593;185518369;187535030;189458827;191335196;193174036;194749329;196158610;197670620;199226702;200811131;202403642;203871925;205211557;206529038;207900099;209164889;210103642;210862983;211695158;212583750;213421037
 IBGE/Diretoria de Pesquisas. Coordena��o de Popula��o e Indicadores Sociais. Ger�ncia de Estudos e An�lises da Din�mica Demogr�fica.;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;
