Regiao,Menor_1_ano,1_ano,2_anos,3_anos,4_anos,5_anos,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,1_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_39_anos,40_a_59_anos,60_anos_e_mais,Total
1_Regiao_Norte,43029820,21873011,3761777,2245468,6472398,6225,4716,3006,2363,16165,25069,546165,673457,205237,21616,12644,124164,2088359,45770,493,54,3179545,3437,33766,38,54,332217,40740,360636,2648,1550,610049,1229,1040710,176422,984693,678942,420,575874,412759,774,310330,1527633,1758718,374064,3631,668122,7361751,2773180,14398271,2412262,392957,6147217,95398,127818014
2_Regiao_Nordeste,124390072,69747500,8717208,5526113,18167814,15897,10863,8846,5582,85557,77658,1537411,3944300,551389,78157,19851,330019,6908642,56015,486,105,9305029,17461,90434,170,806,629584,89569,687752,7742,6774,1097590,5874,2055204,284103,2050316,1467000,2174,1286564,938472,3714,744899,4571351,6136115,1306538,18682,1837104,23230017,5199084,34419982,8375254,2566839,14527644,148294,363287620
3_Regiao_Sudeste,164761833,92443663,6313759,4405733,17329790,22505,10775,7938,4836,74017,83236,2416974,2291436,824106,114404,321576,1067301,19138616,336314,19908,1380,5697264,21091,218897,891,1700,572541,246813,1532564,38586,45640,1784959,9197,3688720,1160679,4214223,3218413,7520,2976116,2482983,13536,2012984,10065213,17620396,3946871,9014,942860,20657353,2851287,55975242,14704502,4487582,24703083,198589,498097409
4_Regiao_Sul,57394798,30344380,2512136,1647192,8963619,3713,2064,1543,1027,16294,29638,1082324,859681,322437,78116,67549,152231,2261776,63823,3544,143,3739638,20473,41402,130,327,190631,55983,276185,8406,5715,536097,2197,941889,303844,1059441,798582,923,836050,713005,1562,604025,3432200,3772923,1850962,1566,500600,6387814,1182514,18328230,5361062,1004723,8171128,65548,166003803
5_Regiao_Centro_Oeste,34061740,17703708,1691682,1079520,4832177,3431,1890,1523,835,15101,21541,480917,511055,160692,24737,49680,242441,1743564,43913,2721,308,2582622,2622,29210,272,623,153535,30999,172156,5340,4710,361344,2092,681857,197876,687284,498119,166,427246,307965,352,234882,1482196,1993085,510364,2277,287159,5092800,9364262,10440699,2077584,653556,5223048,62549,106244027
Total,423638263,232112262,22996562,14904026,55765798,51771,30308,22856,14643,207134,237142,6063791,8279929,2063861,317030,471300,1916156,32140957,545835,27152,1990,24504098,65084,413709,1501,3510,1878508,464104,3029293,62722,64389,4390039,20589,8408380,2122924,8995957,6661056,11203,6101850,4855184,19938,3907120,21078593,31281237,7988799,35170,4235845,62729735,21370327,133562424,32930664,9105657,58772120,570378,1261450873
