 Imunizações - Doses Aplicadas - Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses_aplicadas por Capital segundo Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Imunobiológicos:BCG (BCG),Haemophilus influenzae tipo b (Hib),Meningococo A/C (MnAC),Meningococo B/C (MnBC),Meningocócica Conjugada - C (MncC),Pentavalente (DTP+HB+Hib) (PENTA),Pneumocócica 10valente,Pneumocócica Conjugada 7 Valente (Pnc7),Pneumocócica Polissacarídica 23 Valente (Pn23),Pneumocócica 13 valente,Tetravalente (DTP/Hib) (TETRA),Penta inativada (DTPa/Hib/Vip),Meningocócica ACWY135,Meningocócica  B; Ano:1994-2022; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília;Ignorado; Total
2004/Dez;2.312;2.390;12.224;1.962;10.009;3.069;1.283;8.299;4.993;15.073;5.068;4.235;9.992;7.320;2.024;14.353;14.369;1.658;29.960;70.355;7.623;1.674;7.700;4.319;3.650;7.183;16.252;830.865;1.100.214
2005/Jan;2.882;2.642;12.885;3.065;10.329;2.835;1.864;9.772;5.544;16.882;4.996;5.766;10.813;6.599;2.739;13.899;16.132;1.860;36.455;79.552;8.812;2.042;9.572;4.654;2.806;7.900;15.948;940.912;1.240.157
2005/Fev;2.796;2.593;12.296;2.860;10.212;2.517;1.595;8.132;4.943;14.524;4.547;4.890;10.538;7.619;2.623;14.258;13.297;1.804;33.749;65.996;7.804;1.578;9.099;5.119;4.229;7.746;15.090;875.342;1.147.796
2005/Mar;2.929;2.369;12.882;2.713;10.106;2.867;1.599;9.349;5.555;16.077;5.154;5.147;10.815;8.197;2.732;13.926;15.146;2.114;36.272;74.835;8.663;1.672;8.485;4.335;4.170;7.810;17.150;943.721;1.236.790
2005/Abr;2.665;2.778;13.499;2.585;10.748;2.716;1.656;9.943;5.502;15.093;5.178;4.902;11.719;8.345;3.039;14.743;14.363;2.093;34.484;78.718;25.298;1.809;7.902;4.341;4.083;8.015;20.861;950.021;1.267.099
2005/Mai;2.774;2.876;14.637;2.769;10.728;2.880;1.538;9.410;5.027;15.899;4.685;4.925;10.450;6.685;2.649;14.864;16.791;2.137;41.811;103.233;8.809;1.636;8.358;4.595;4.231;7.739;20.428;968.486;1.301.050
2005/Jun;2.903;3.332;13.817;2.701;12.276;4.008;1.999;9.867;6.044;19.297;4.314;5.991;11.663;7.385;2.206;14.719;14.522;2.406;44.792;82.345;8.755;1.838;9.261;5.233;5.044;7.910;17.015;1.122.557;1.444.200
2005/Jul;2.700;2.311;14.463;2.529;10.089;2.709;1.465;9.173;4.930;16.753;5.484;4.517;9.408;8.012;2.591;15.168;14.047;1.921;39.980;66.929;9.123;1.631;6.481;4.112;4.861;8.455;15.942;908.811;1.194.595
2005/Ago;3.148;3.013;15.515;2.950;11.846;3.650;2.119;10.118;5.879;22.175;5.868;6.106;12.942;8.803;2.647;15.075;18.009;2.490;45.985;82.056;10.674;1.856;9.223;5.202;4.487;8.435;18.112;1.158.336;1.496.719
2005/Set;2.440;2.542;12.956;2.467;11.047;3.635;1.737;8.988;5.053;18.258;5.126;4.295;10.852;7.501;2.642;16.920;16.576;1.911;36.285;65.652;8.550;1.631;6.170;3.968;5.229;7.368;17.555;916.472;1.203.826
2005/Out;2.887;2.763;13.846;2.700;11.032;2.937;1.539;9.029;5.227;17.488;5.036;4.926;10.875;8.025;2.991;13.713;15.317;2.215;36.969;67.659;8.336;1.668;7.601;4.026;4.592;6.871;15.495;941.601;1.227.364
2005/Nov;2.729;2.536;13.197;2.622;10.992;3.042;1.543;9.108;5.214;17.733;5.330;5.187;10.783;7.642;2.583;14.909;14.311;2.162;37.572;69.322;8.323;1.805;7.988;4.348;4.572;9.070;15.903;936.365;1.226.891
2005/Dez;2.310;2.987;12.420;2.885;9.359;2.441;1.515;8.258;4.833;16.751;4.180;4.861;10.717;6.985;2.771;16.699;12.947;1.809;33.634;60.559;11.141;1.530;7.560;4.094;4.421;7.312;15.657;881.768;1.152.404
2006/Jan;2.793;2.549;14.803;2.793;12.938;3.388;1.967;9.522;5.563;17.525;4.869;4.648;11.356;8.460;2.694;15.545;17.072;1.809;40.783;70.441;10.462;1.623;9.067;4.330;3.550;7.768;18.657;958.374;1.265.349
2006/Fev;2.204;2.360;12.642;3.061;10.783;2.489;1.530;8.144;4.747;13.914;5.013;4.485;10.823;8.391;2.753;11.407;11.799;1.574;28.488;60.584;7.783;1.600;9.764;4.156;4.569;8.230;12.763;861.117;1.117.173
2006/Mar;2.990;2.548;15.915;4.613;9.944;4.146;2.179;9.216;5.745;17.659;4.941;4.439;12.115;7.073;2.736;14.312;17.077;1.841;42.135;74.714;10.940;1.799;8.818;4.070;3.938;7.678;21.073;961.326;1.275.980
2006/Abr;2.429;3.355;12.557;2.342;11.073;2.573;1.630;7.208;5.056;14.023;4.053;4.646;10.772;6.448;3.010;12.916;13.154;1.784;27.724;64.672;9.390;1.602;7.412;4.211;3.879;7.750;18.411;882.567;1.146.647
2006/Mai;2.830;2.773;13.868;2.726;9.470;3.294;1.818;8.723;5.095;15.934;4.639;5.376;10.303;4.261;2.196;13.512;13.038;1.921;33.453;84.430;10.412;2.003;7.600;4.453;3.624;8.960;22.818;919.204;1.218.734
2006/Jun;2.715;3.141;14.718;2.314;11.333;3.533;1.594;8.339;5.528;240;4.889;5.510;10.604;7.214;2.631;14.383;11.295;2.166;32.899;74.130;9.006;2.063;7.377;4.372;4.673;9.204;16.420;992.882;1.265.173
2006/Jul;2.679;2.473;13.673;2.322;9.645;2.946;1.526;8.421;5.098;14.818;5.209;5.254;9.546;6.211;2.518;15.066;10.346;1.796;30.671;69.710;10.535;1.700;6.101;4.729;3.251;8.712;16.819;822.053;1.093.828
