 Imunizações - Doses Aplicadas - Brasil ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doses_aplicadas por Capital segundo Ano/mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Imunobiológicos:BCG (BCG),Haemophilus influenzae tipo b (Hib),Meningococo A/C (MnAC),Meningococo B/C (MnBC),Meningocócica Conjugada - C (MncC),Pentavalente (DTP+HB+Hib) (PENTA),Pneumocócica 10valente,Pneumocócica Conjugada 7 Valente (Pnc7),Pneumocócica Polissacarídica 23 Valente (Pn23),Pneumocócica 13 valente,Tetravalente (DTP/Hib) (TETRA),Penta inativada (DTPa/Hib/Vip),Meningocócica ACWY135,Meningocócica  B; Ano:1994-2022; ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano/mês;Porto Velho;Rio Branco;Manaus;Boa Vista;Belém;Macapá;Palmas;São Luís;Teresina;Fortaleza;Natal;João Pessoa;Recife;Maceió;Aracaju;Salvador;Belo Horizonte;Vitória;Rio de Janeiro;São Paulo;Curitiba;Florianópolis;Porto Alegre;Campo Grande;Cuiabá;Goiânia;Brasília;Ignorado; Total
2011/Jan;7.756;5.166;36.991;4.759;17.053;8.372;4.831;17.845;24.689;35.247;11.468;7.735;22.466;14.106;9.243;37.259;30.509;5.918;82.290;177.182;29.785;6.358;18.412;14.730;8.426;24.956;46.656;2.047.178;2.757.386
2011/Fev;8.060;6.126;37.353;5.646;19.148;8.181;3.796;17.288;14.685;32.863;12.315;8.672;23.758;13.868;8.962;52.696;27.280;4.589;79.981;172.437;25.181;5.436;17.465;13.174;7.755;19.946;40.498;2.051.629;2.738.788
2011/Mar;7.980;5.776;34.705;5.995;22.465;8.777;4.323;20.519;14.405;29.626;10.846;9.590;20.428;11.314;8.403;25.947;30.434;4.938;78.560;168.619;27.461;5.901;15.969;11.882;8.536;20.253;37.512;2.015.598;2.666.762
2011/Abr;7.614;5.664;35.810;5.980;23.681;8.242;4.067;18.921;13.891;28.739;11.799;9.172;22.897;10.241;10.684;36.824;27.350;4.346;75.263;169.874;22.998;5.347;16.158;11.499;8.749;18.284;37.376;2.043.518;2.694.988
2011/Mai;7.080;6.345;33.829;5.880;24.937;8.050;3.712;18.020;11.627;28.916;11.027;10.862;21.158;13.019;9.643;34.083;27.592;4.741;75.647;210.501;25.392;6.429;16.338;12.338;8.702;18.266;40.939;2.044.711;2.739.784
2011/Jun;8.125;6.896;34.949;5.161;23.823;8.065;3.870;17.984;10.680;32.996;11.069;12.289;19.703;12.441;9.076;32.015;29.520;4.886;75.422;170.155;23.077;5.389;16.618;12.328;8.083;20.256;33.863;2.094.751;2.743.490
2011/Jul;8.147;6.245;33.444;6.282;20.711;7.572;3.659;17.875;11.370;32.958;11.455;10.483;20.768;7.900;8.733;30.390;28.553;6.686;75.621;163.884;22.114;5.378;14.736;12.322;8.753;19.013;35.533;1.985.742;2.616.327
2011/Ago;8.052;6.513;34.056;4.774;22.171;7.591;3.993;16.652;11.555;35.496;11.462;12.014;24.348;5.702;9.085;37.650;31.645;4.984;85.177;179.915;24.433;5.579;16.727;12.966;8.149;20.215;28.353;2.215.571;2.884.828
2011/Out;6.805;6.251;30.262;6.974;17.230;6.758;4.172;17.067;11.513;32.677;11.155;10.595;22.327;5.766;9.779;36.725;24.893;5.612;71.267;154.120;21.510;5.064;15.576;12.179;7.717;17.755;38.411;2.004.957;2.615.117
2011/Nov;7.436;6.630;33.123;6.877;17.907;7.467;4.341;16.013;12.497;33.290;11.263;10.120;22.220;7.248;8.762;32.732;27.388;4.383;73.478;161.403;23.694;5.188;14.518;15.256;7.312;19.212;37.747;2.001.091;2.628.596
2011/Set;7.604;6.417;31.623;4.427;20.622;7.001;3.817;17.194;11.755;32.579;11.365;10.242;21.537;6.740;8.858;34.542;27.897;5.239;74.887;159.071;21.285;5.433;15.185;14.285;8.279;20.099;12.457;1.970.340;2.570.780
2011/Dez;7.438;5.202;32.272;5.518;19.000;6.364;4.096;15.883;11.149;29.397;10.347;11.380;21.407;7.033;8.770;35.277;26.759;3.607;67.996;143.558;21.895;4.477;14.341;11.224;6.565;10.096;39.094;1.838.571;2.418.716
2012/Jan;10.149;6.037;35.550;5.483;18.006;7.867;4.199;18.141;13.312;37.371;12.350;10.211;21.009;14.053;8.568;33.351;31.551;4.650;78.117;165.453;25.578;4.854;14.786;12.831;9.617;20.323;39.521;2.035.172;2.698.110
2012/Fev;9.293;5.834;32.665;5.315;18.838;6.874;4.082;16.097;11.640;28.135;10.226;10.170;21.315;14.040;9.211;29.607;26.497;3.519;66.341;151.126;20.488;4.394;13.803;9.903;7.879;17.877;37.077;1.878.196;2.470.442
2012/Mar;8.208;5.882;35.615;6.271;20.021;8.290;4.712;17.149;13.007;33.655;12.183;10.349;20.997;13.205;7.297;33.459;29.023;3.856;78.681;164.981;23.249;5.494;15.139;12.572;8.221;17.520;40.825;1.985.863;2.635.724
2012/Abr;6.780;6.292;36.563;4.803;19.220;7.822;3.556;16.691;12.051;35.982;10.544;10.462;22.199;13.684;7.844;31.610;26.758;3.965;68.005;150.665;20.411;4.764;14.900;11.400;7.928;16.398;37.343;1.875.180;2.483.820
2012/Mai;7.250;5.844;33.057;34;17.352;7.316;4.238;15.275;12.469;35.309;11.083;10.372;20.722;12.898;9.238;31.127;32.158;4.468;74.821;202.635;25.568;5.278;16.145;13.157;7.773;19.510;46.019;2.018.465;2.699.581
2012/Jun;7.957;6.114;36.271;5.472;18.845;6.467;3.846;15.929;12.278;36.640;11.430;11.904;21.856;13.580;8.405;34.576;32.076;4.515;78.198;176.876;23.167;5.378;15.700;12.373;7.985;19.931;40.728;2.019.546;2.688.043
2012/Jul;7.596;5.444;34.095;5.778;17.517;7.906;3.881;15.130;11.597;31.538;11.648;10.566;19.007;13.920;8.383;32.293;29.645;4.477;76.187;154.716;23.175;4.928;14.184;12.831;7.018;21.598;40.285;1.956.779;2.582.122
2012/Ago;12.169;6.971;44.763;6.801;23.900;10.462;3.463;27.666;15.459;38.826;15.326;10.132;26.738;17.484;8.636;36.005;35.363;7.720;86.381;204.296;25.256;5.708;19.165;14.096;7.781;22.365;49.473;2.287.476;3.069.881
2012/Set;6.750;5.249;32.093;5.848;18.547;6.124;3.755;19.927;13.365;29.347;10.586;9.969;22.127;13.437;8.167;36.042;25.322;4.955;66.461;139.759;18.919;4.816;12.810;10.768;5.859;18.158;19.337;1.855.887;2.424.384
2012/Out;6.692;5.033;33.430;4.878;8.806;7.474;3.844;17.886;11.227;31.823;10.412;10.614;19.478;11.928;8.615;28.636;28.442;5.343;75.000;154.289;23.744;5.186;14.776;12.456;6.714;20.307;40.412;1.928.802;2.536.247
2012/Nov;6.437;5.234;30.471;5.740;15.780;6.267;3.456;16.065;13.097;31.235;9.815;8.813;19.823;12.676;7.591;27.442;31.978;4.954;67.910;147.026;21.564;5.145;13.547;12.067;6.062;18.911;35.505;1.868.497;2.453.108
2012/Dez;5.464;2.470;32.931;5.276;16.010;5.372;2.683;12.616;11.210;27.503;9.171;11.735;19.617;10.338;2.898;29.597;23.329;4.011;63.803;133.651;19.520;4.203;13.509;9.876;5.736;16.750;34.628;1.614.658;2.148.565
2013/Jan;9.241;5.627;34.329;5.873;18.009;7.886;4.846;18.613;11.691;36.258;10.680;10.440;21.012;13.433;8.743;26.693;29.924;5.044;77.122;165.365;25.760;5.512;15.228;13.737;9.107;21.869;44.368;2.037.777;2.694.187
2013/Fev;6.710;5.060;33.162;6.860;17.717;6.204;3.550;14.646;11.354;30.225;10.013;8.968;20.886;11.651;7.842;26.697;29.353;4.331;67.187;304.604;20.626;4.847;13.877;10.910;7.077;18.160;38.336;1.838.507;2.579.360
2013/Mar;7.374;6.271;35.485;5.718;18.771;6.895;3.285;15.073;11.841;32.319;11.106;9.892;21.877;10.752;8.339;30.790;27.508;4.089;71.697;151.179;22.475;4.726;16.062;11.796;8.331;19.057;37.949;1.882.152;2.492.809
2013/Abr;8.474;6.578;24.303;5.974;19.304;6.646;4.557;17.149;11.718;35.869;10.875;10.277;20.951;14.074;8.084;30.491;30.316;4.659;76.662;195.017;25.497;6.511;17.326;13.265;8.454;21.370;43.166;2.068.461;2.746.028
2013/Mai;10.402;5.324;9.263;6.756;16.496;6.559;3.762;15.645;13.156;31.529;8.042;9.343;22.355;11.756;8.027;29.590;27.318;4.169;73.556;163.467;21.255;5.347;14.534;11.504;8.095;18.068;38.323;1.859.259;2.452.900
2013/Jun;9.242;6.327;34.042;6.263;13.595;7.245;3.773;16.846;13.217;36.221;7.803;9.609;21.626;14.538;7.827;31.214;31.818;3.862;81.473;167.073;23.937;5.385;15.879;12.836;8.551;21.280;39.781;2.078.468;2.729.731
2013/Jul;10.813;4.768;31.081;5.854;16.634;7.457;3.684;14.425;11.254;32.609;10.166;10.368;17.670;13.804;7.544;32.475;29.668;5.111;69.516;153.207;23.601;4.347;13.888;11.098;7.970;19.394;85.229;1.955.071;2.608.706
2013/Ago;7.919;9.839;36.025;3.994;18.898;8.357;3.568;17.441;13.350;37.550;10.701;9.740;14.683;17.324;8.417;33.805;33.030;5.805;102.717;165.000;24.879;3.613;14.119;12.755;12.445;17.152;48.783;2.197.928;2.889.837
2013/Set;9.221;5.267;46.268;5.169;25.728;9.349;4.351;19.889;15.725;43.444;12.930;13.670;19.738;14.100;11.302;59.621;34.992;4.960;95.457;190.392;28.381;5.924;19.162;14.237;9.072;23.811;47.024;2.425.571;3.214.755
2013/Out;6.511;5.092;34.975;4.946;17.153;6.902;4.356;15.552;13.382;33.350;8.529;10.124;17.329;13.274;7.998;29.859;30.724;5.190;76.994;368.474;23.907;5.422;14.623;11.530;8.461;19.290;39.189;2.018.788;2.851.924
2013/Nov;7.779;5.349;33.350;593;17.835;7.037;4.075;15.683;13.260;35.377;9.049;11.107;16.862;14.348;7.545;29.822;30.017;5.484;73.591;159.934;21.614;4.020;13.154;12.620;7.269;17.774;38.327;1.928.584;2.541.459
2013/Dez;7.573;5.301;33.431;2.542;16.791;6.443;3.393;13.356;11.240;28.995;9.731;9.745;18.851;11.408;8.079;26.205;27.252;5.518;68.898;143.348;20.298;4.174;12.302;10.818;6.566;16.159;35.558;1.675.425;2.239.400
2014/Jan;8.271;5.598;31.258;6.044;22.655;8.137;4.708;18.253;12.991;35.835;10.453;10.733;22.104;13.546;8.365;29.628;7.437;4.822;78.554;172.575;26.248;5.829;17.337;12.907;8.487;21.614;43.579;2.254.635;2.902.603
2014/Fev;7.632;5.633;38.890;5.832;23.479;7.050;3.581;14.065;12.251;33.124;10.439;11.142;21.687;13.529;4.042;31.626;13.569;4.032;73.623;147.812;20.803;4.771;14.286;11.133;9.035;18.314;38.150;1.968.343;2.567.873
2014/Mar;8.696;2.886;30.860;5.598;17.375;6.685;4.078;14.835;12.447;29.729;9.732;10.449;20.589;11.672;5.529;27.119;100;4.948;73.932;154.888;22.687;4.649;15.274;11.721;8.174;19.856;45.853;1.977.847;2.558.208
2014/Abr;8.366;6.394;35.446;6.291;22.724;7.390;4.153;14.986;12.549;30.119;9.238;10.823;20.386;11.945;5.424;32.599;15.330;5.379;72.700;171.546;23.533;5.498;15.922;12.483;8.718;20.618;41.532;2.003.592;2.635.684
2014/Mai;8.104;5.182;33.327;5.320;20.064;6.652;3.940;13.568;10.021;30.033;6.927;10.033;21.065;11.242;7.757;28.575;9.634;4.361;79.514;185.826;21.439;5.601;15.878;11.597;7.862;20.125;40.922;1.945.283;2.569.852
2014/Jun;6.437;5.058;34.673;5.544;18.019;5.844;3.468;13.062;11.474;28.289;8.667;9.890;20.210;11.622;9.281;28.135;21.004;4.432;73.327;154.210;21.563;4.791;13.589;11.815;7.830;13.450;37.228;1.895.190;2.478.102
2014/Jul;8.362;4.448;35.801;4.365;15.344;6.775;4.511;14.440;12.773;36.461;11.377;9.924;22.484;12.420;7.673;30.123;20.083;4.957;84.823;170.472;24.141;5.894;17.396;13.285;8.937;23.148;48.244;2.158.854;2.817.515
2014/Ago;8.418;6.737;37.454;5.552;16.978;6.975;4.418;14.267;13.471;34.920;11.172;11.028;20.180;11.245;9.177;34.239;23.775;4.506;77.667;167.408;21.528;5.263;15.640;11.652;8.438;19.984;39.678;2.177.068;2.818.838
2014/Set;10.119;3.531;37.026;5.751;16.122;6.667;4.363;14.097;12.306;35.811;10.838;10.947;20.718;12.801;8.505;32.400;25.428;4.624;85.310;167.346;152.042;5.589;16.758;12.771;8.374;21.639;41.173;2.088.290;2.871.346
2014/Out;8.489;3.051;34.936;4.154;14.985;7.408;4.251;13.372;10.698;32.887;10.591;11.387;21.785;12.029;8.143;31.460;24.506;5.399;78.531;164.881;22.601;5.928;15.794;12.018;8.059;20.566;40.460;2.000.431;2.628.800
2014/Nov;10.032;3.478;36.940;3.145;14.433;3.520;4.587;15.425;12.136;42.113;13.110;11.210;22.385;11.533;9.354;36.016;25.132;5.619;81.781;170.697;22.397;5.387;17.749;13.043;9.770;22.344;33.329;2.081.238;2.737.903
2014/Dez;7.082;2.416;35.820;6.130;13.409;6.425;3.643;11.456;9.540;26.493;8.914;9.083;19.740;11.432;7.725;29.477;22.698;3.421;73.357;137.862;18.467;4.680;12.273;11.055;7.200;17.816;27.722;1.647.208;2.192.544
2015/Jan;6.960;5.161;36.301;4.658;16.539;8.319;5.067;16.192;11.344;45.946;10.069;10.653;22.282;15.050;7.950;28.323;26.225;4.123;77.424;166.551;23.563;4.834;15.426;13.437;8.293;18.102;40.331;2.144.961;2.794.084
2015/Fev;7.635;6.489;38.361;6.665;14.314;7.150;3.917;12.628;10.586;39.349;9.218;9.005;22.404;9.665;7.764;30.678;21.570;3.505;71.678;143.108;19.232;4.889;13.337;11.281;7.921;15.552;38.710;1.851.930;2.438.541
2015/Mar;8.104;6.605;40.458;6.363;17.511;8.479;4.511;15.540;12.867;35.414;9.271;9.971;23.304;10.820;8.194;30.603;25.577;4.658;84.785;160.106;21.955;4.561;16.628;13.987;9.541;20.020;43.366;2.088.366;2.741.565
2015/Abr;7.195;7.559;38.672;6.011;13.114;7.000;4.908;14.392;10.628;33.176;8.629;9.565;22.748;11.407;7.606;29.764;23.533;3.717;76.770;152.088;21.477;5.232;14.037;12.299;8.632;12.382;39.258;1.927.648;2.529.447
2015/Mai;7.949;8.215;37.664;6.324;13.923;7.482;4.719;14.377;9.706;34.512;11.763;10.359;22.223;13.735;9.194;28.919;21.708;4.437;82.801;201.105;21.658;4.185;13.758;13.325;9.629;19.743;39.943;2.000.979;2.674.335
2015/Jun;10.137;6.691;41.571;6.591;14.532;6.226;4.818;13.149;9.755;35.656;8.970;9.571;21.530;11.471;7.227;25.833;26.251;4.313;80.365;159.105;21.823;6.141;14.220;9.749;8.673;18.994;39.247;1.952.837;2.575.446
2015/Jul;8.461;4.538;37.663;5.744;13.922;8.087;5.065;14.830;10.223;37.119;10.275;10.486;23.163;15.330;9.018;29.282;27.441;5.409;92.754;170.470;24.411;5.061;16.299;13.707;12.097;19.009;31.512;2.104.789;2.766.165
2015/Ago;12.917;13.697;59.913;9.531;18.617;16.565;8.670;23.746;11.297;60.780;18.395;14.530;32.444;16.059;11.723;69.938;39.417;6.445;124.111;215.681;31.069;7.854;24.925;23.491;8.361;33.357;40.541;2.974.254;3.928.328
2015/Set;9.135;4.460;36.831;4.624;9.005;6.995;3.942;14.494;9.775;32.242;9.641;9.673;22.196;12.498;7.783;41.751;24.766;4.416;79.257;153.524;19.420;4.345;12.656;13.465;7.476;18.436;8.753;1.865.123;2.446.682
2015/Out;7.587;4.949;35.305;5.746;8.907;7.264;4.156;14.199;9.283;38.323;9.545;9.757;22.446;13.134;6.977;27.301;21.791;4.310;79.869;150.908;18.786;5.904;15.651;12.563;8.917;17.657;6.147;1.860.065;2.427.447
2015/Nov;7.643;4.671;34.632;5.577;7.130;7.286;3.988;15.804;9.484;45.296;9.404;10.476;22.140;12.467;7.173;30.138;28.180;4.100;79.589;148.259;21.508;5.364;15.565;12.903;9.374;18.915;8.460;1.867.964;2.453.490
2015/Dez;6.851;3.587;31.037;6.947;4.440;7.092;3.282;12.451;8.937;42.074;8.917;9.833;21.001;12.103;6.320;27.980;24.833;3.892;76.458;136.389;21.365;5.285;13.738;9.590;7.131;16.293;6.572;1.612.685;2.147.083
2016/Jan;10.907;7.022;37.826;6.119;18.011;9.057;4.695;15.962;11.136;41.678;9.037;10.825;22.581;15.359;5.996;26.488;27.304;5.106;99.273;135.978;21.780;7.526;12.996;14.849;9.012;20.635;66.036;2.091.860;2.765.054
2016/Fev;7.820;5.441;31.878;7.696;15.398;7.833;4.063;13.972;9.503;41.069;8.668;9.650;20.753;9.706;5.722;26.614;24.527;4.746;83.831;122.212;19.300;5.647;11.912;12.256;8.255;18.073;71.486;1.807.796;2.415.827
2016/Mar;9.101;5.496;37.854;7.123;16.263;9.611;4.114;16.200;11.097;42.055;8.710;9.500;21.171;10.862;7.169;26.354;27.454;5.248;96.371;134.921;20.566;4.659;12.662;12.099;8.701;18.524;58.607;1.864.049;2.506.541
2016/Abr;9.869;5.185;35.907;5.652;14.431;7.226;4.286;16.507;9.593;47.957;9.344;10.603;23.761;10.960;6.215;25.394;23.941;5.216;82.839;115.310;20.058;5.893;11.923;11.821;8.344;16.769;54.511;1.714.453;2.313.968
2016/Mai;6.919;5.614;32.533;5.602;14.065;7.932;3.712;13.892;9.772;42.669;9.601;8.741;20.257;10.726;5.938;29.802;24.932;4.850;73.507;123.187;18.577;6.639;11.460;13.257;8.023;16.289;56.814;1.690.110;2.275.420
2016/Jun;8.494;5.313;29.781;5.062;15.471;7.697;3.841;14.111;9.297;44.891;8.752;8.639;21.567;11.250;4.379;27.160;26.145;4.774;84.867;23.814;20.947;5.748;10.471;13.300;7.759;18.142;53.583;1.735.861;2.231.116
2016/Jul;7.116;4.591;30.520;5.181;11.735;6.852;3.555;13.145;9.700;42.988;10.071;8.787;21.625;12.961;7.099;31.108;24.317;3.659;79.399;121.447;18.858;5.031;9.051;11.474;7.580;11.411;47.585;1.717.731;2.284.577
2016/Ago;8.644;4.849;62.112;5.852;14.925;8.958;3.998;14.553;11.221;43.760;10.319;9.981;19.442;13.054;6.628;27.145;26.619;4.910;86.957;137.062;21.401;4.082;13.567;11.539;8.675;14.016;52.639;1.869.071;2.515.979
2016/Set;14.811;9.835;75.729;7.860;32.125;14.012;5.868;20.516;16.945;81.953;14.919;16.594;31.373;16.662;9.613;42.518;42.725;8.352;119.530;274.918;32.750;9.077;26.512;20.259;13.365;29.034;68.388;3.129.701;4.185.944
2016/Out;7.662;4.784;31.434;5.519;8.905;7.241;3.702;11.722;8.435;44.316;8.287;7.297;17.908;11.279;3.261;27.491;22.752;4.310;71.943;115.672;17.102;3.982;13.201;10.040;7.104;13.517;38.234;1.528.130;2.055.230
2016/Nov;6.673;4.856;33.810;5.653;11.582;7.188;3.519;13.359;8.994;46.434;7.751;7.468;19.141;12.330;6.917;19.839;22.685;4.488;73.446;117.370;18.854;4.682;13.281;11.326;7.629;14.541;39.399;1.611.861;2.155.076
2016/Dez;7.300;3.933;26.387;4.734;10.024;7.137;3.030;10.580;8.009;45.577;7.105;7.215;20.021;9.391;2.200;26.732;21.057;3.956;65.718;111.114;16.134;5.297;11.593;9.267;6.737;12.526;62.123;1.284.262;1.809.159
2017/Jan;11.652;5.833;38.798;7.465;16.540;5.665;4.584;16.469;10.435;32.964;1.950;10.682;24.804;13.285;6.779;18.538;32.911;5.491;91.391;145.661;22.455;1.590;16.771;14.074;8.160;16.055;35.390;2.053.068;2.669.460
2017/Fev;10.857;4.874;29.272;7.423;12.184;5.275;3.227;11.544;8.166;26.543;3.012;9.176;18.753;9.039;4.202;21.937;23.168;3.190;72.248;108.106;16.981;988;11.655;12.590;8.054;12.527;28.998;1.612.048;2.096.037
2017/Mar;11.854;6.102;40.602;7.348;18.074;6.487;4.623;15.673;10.362;35.612;4.309;9.319;20.946;13.175;8.485;15.257;29.675;4.992;98.041;150.001;22.167;2.913;16.706;13.335;8.419;17.122;40.674;2.144.984;2.777.257
2017/Abr;10.999;5.092;30.248;7.410;12.208;6.174;3.529;12.056;8.087;32.532;3.554;9.863;13.590;9.321;5.787;36.975;22.325;3.995;71.104;125.882;17.200;3.742;14.654;11.663;8.560;13.922;31.590;1.687.862;2.219.924
2017/Mai;9.510;6.656;33.961;7.339;14.760;6.620;4.427;13.608;9.865;36.610;3.951;8.377;17.924;11.554;7.021;38.559;28.194;5.129;86.963;153.174;21.109;2.605;13.631;14.109;8.292;15.510;38.303;1.939.680;2.557.441
2017/Jun;6.200;5.245;30.409;6.193;12.234;5.771;3.284;12.336;7.433;29.842;4.215;8.270;21.682;8.923;5.231;40.915;23.840;5.252;85.517;131.787;19.198;2.127;12.411;12.262;7.681;11.691;27.639;1.707.981;2.255.569
2017/Jul;6.269;5.041;32.850;7.145;11.139;5.683;3.615;14.217;9.376;39.418;6.481;8.384;19.598;11.976;4.562;28.758;25.113;5.611;89.375;133.393;19.942;2.052;14.459;12.690;7.268;16.319;36.068;1.803.845;2.380.647
2017/Ago;7.240;5.916;34.523;7.100;15.114;7.223;4.105;14.847;10.550;48.281;7.387;12.035;19.516;14.089;6.416;30.513;26.901;5.721;93.367;142.719;20.884;2.199;16.312;14.259;14.747;17.047;35.486;2.060.549;2.695.046
2017/Set;7.942;10.046;65.078;5.305;22.227;13.994;4.561;17.052;16.209;70.626;12.165;14.153;32.698;18.805;14.005;47.567;45.335;5.850;113.048;248.642;31.921;4.713;23.830;20.984;5.984;29.536;62.372;3.352.871;4.317.519
2017/Out;7.559;5.940;31.558;9.398;15.848;7.976;5.544;13.557;11.963;48.827;6.685;10.234;21.657;12.480;7.356;27.113;25.401;6.052;85.387;137.293;19.052;3.118;13.291;10.501;7.503;14.665;35.048;1.909.684;2.510.690
2017/Nov;7.418;5.172;31.441;5.622;14.733;7.690;3.884;14.379;10.477;49.412;6.486;9.631;18.263;11.191;6.346;26.419;24.200;4.582;78.822;130.479;18.176;2.093;13.569;11.810;7.027;14.837;30.159;1.764.479;2.328.797
2017/Dez;6.015;4.561;26.657;4.536;11.715;6.710;3.380;8.814;8.761;39.792;6.508;7.400;17.233;9.579;5.535;21.794;21.480;4.090;73.845;120.834;13.430;1.744;10.636;11.290;8.048;12.674;29.966;1.436.515;1.933.542
2018/Jan;8.340;5.500;37.409;5.758;16.150;8.264;4.745;13.397;12.003;58.291;8.896;9.961;21.334;11.861;8.215;30.797;29.805;5.388;95.540;140.348;22.011;6.352;13.815;14.398;7.900;17.829;39.175;2.040.131;2.693.613
2018/Fev;5.831;4.003;27.935;4.865;9.488;5.175;2.504;10.666;8.193;33.493;7.062;7.813;17.489;7.792;6.827;22.036;23.024;4.643;69.105;118.601;16.011;4.661;10.027;9.870;5.975;10.657;24.593;1.543.450;2.021.789
2018/Mar;8.050;5.372;36.999;6.785;13.032;6.964;4.129;14.082;9.171;31.814;7.700;9.093;17.940;11.461;7.067;22.817;26.078;6.353;75.166;132.814;18.592;4.405;12.874;10.900;5.955;14.256;35.097;1.779.612;2.334.578
2018/Abr;8.138;4.983;33.797;8.839;13.091;6.244;4.019;13.665;11.086;50.689;8.532;11.912;20.559;12.575;7.792;25.265;25.701;5.208;93.537;136.002;16.671;3.394;15.757;11.808;6.512;15.011;35.628;1.899.364;2.505.779
2018/Mai;8.408;5.669;29.673;7.345;13.183;6.352;3.210;11.382;11.281;43.007;8.350;9.588;19.886;12.946;8.089;27.408;27.909;6.009;93.091;162.205;20.280;2.411;14.397;15.384;6.747;15.915;33.472;1.923.624;2.547.221
2018/Jun;8.552;4.318;29.299;5.501;14.276;5.642;3.155;9.389;10.569;46.061;7.762;10.168;18.085;10.890;7.455;20.761;28.982;5.412;151.064;150.739;21.191;2.630;16.128;13.421;6.800;15.939;36.602;1.824.914;2.485.705
2018/Jul;9.961;5.108;40.295;7.062;15.567;6.650;3.040;12.006;12.118;53.903;10.085;11.726;19.006;14.884;9.461;28.182;29.747;5.637;36.078;162.994;25.315;1.393;15.990;13.393;6.522;15.876;40.626;2.031.474;2.644.099
2018/Ago;8.877;6.616;35.183;6.689;17.823;7.935;4.996;13.791;11.199;55.595;11.253;12.968;22.464;16.060;9.002;29.677;30.645;6.373;47.316;192.250;24.580;2.731;17.966;12.938;9.010;22.003;40.854;2.206.326;2.883.120
2018/Set;7.828;4.991;28.015;5.747;14.953;7.498;3.570;8.981;12.083;40.875;8.639;10.761;18.104;12.014;6.360;25.914;21.537;4.819;42.452;138.939;20.022;1.597;12.756;13.525;7.767;15.646;32.306;1.747.724;2.275.423
2018/Out;7.936;6.280;33.776;7.128;14.801;8.395;4.636;8.881;11.551;52.603;9.198;11.475;22.529;13.726;7.724;28.410;27.942;6.534;53.410;157.533;27.820;3.117;16.772;13.825;9.553;17.459;41.777;2.127.677;2.752.468
2018/Nov;7.046;5.481;30.427;6.392;13.991;7.623;3.188;7.537;12.086;48.602;7.328;11.018;19.730;11.651;8.354;24.982;24.176;4.591;42.092;136.241;30.934;2.755;14.380;13.795;8.533;16.592;33.304;1.931.036;2.483.865
2018/Dez;6.141;4.195;27.870;6.268;12.911;7.379;3.121;5.644;9.451;39.667;14.892;9.778;15.738;9.513;5.694;20.154;21.012;3.973;36.907;115.226;21.852;2.379;11.445;9.110;6.615;12.670;31.344;1.485.835;1.956.784
2019/Jan;8.027;6.412;41.614;8.674;19.190;9.686;4.370;10.034;12.455;36.371;11.110;12.437;22.081;13.486;8.277;29.996;28.953;6.066;53.147;154.605;30.595;513;15.624;16.741;10.778;16.438;42.130;2.181.216;2.811.026
2019/Fev;6.663;5.349;34.163;7.189;14.748;7.243;3.555;7.957;9.559;27.311;9.888;11.046;18.857;11.810;7.226;22.975;22.806;4.925;45.702;118.152;23.756;2.293;13.013;13.592;8.422;13.410;33.219;1.759.243;2.264.072
2019/Mar;7.195;5.349;39.612;7.459;16.457;8.082;4.031;9.067;10.701;33.567;9.501;10.775;19.229;11.695;7.619;24.204;26.339;6.951;53.462;140.087;27.016;7.096;15.011;14.782;9.137;17.152;36.606;1.948.441;2.526.623
2019/Abr;7.474;5.648;35.933;7.325;16.455;7.988;4.168;8.280;10.315;35.676;10.180;12.555;17.320;12.713;8.006;26.452;28.509;5.836;51.361;143.571;24.280;5.250;17.035;13.768;9.900;15.020;34.443;2.005.218;2.580.679
2019/Mai;7.207;5.810;36.945;7.570;17.094;7.876;4.157;8.807;11.301;34.434;10.998;11.051;17.836;13.394;8.545;25.923;32.987;6.457;56.466;188.244;25.007;5.087;15.881;14.896;9.769;16.259;38.556;2.069.103;2.707.660
2019/Jun;6.365;6.168;32.435;6.317;13.955;6.451;3.802;6.698;9.936;28.996;8.771;8.762;15.032;9.729;6.673;20.692;27.604;4.767;51.479;142.585;22.999;4.745;14.066;12.719;8.455;13.043;32.750;1.701.695;2.227.689
2019/Jul;7.372;6.922;35.752;7.477;15.879;8.028;4.495;10.425;11.937;34.504;11.604;10.482;18.349;13.728;8.804;28.962;30.286;5.774;62.254;163.816;25.999;5.354;15.427;15.497;9.569;15.010;39.882;2.035.277;2.658.865
2019/Ago;6.866;5.510;36.105;7.600;16.777;7.970;4.661;10.976;10.623;32.837;12.293;11.224;21.061;12.589;8.133;28.102;26.748;5.462;61.261;140.339;24.419;4.820;15.561;14.131;9.869;15.896;38.842;1.895.256;2.485.931
2019/Set;5.754;6.081;32.915;6.614;14.501;5.604;3.477;9.877;8.949;29.556;9.544;12.531;18.171;12.302;8.212;20.216;22.943;4.345;43.519;97.751;16.673;3.549;12.437;13.813;7.136;11.491;27.985;1.616.029;2.081.975
