"Capital";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"1 a 4 anos";"2 a 4 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"7 a 9 anos";"7 a 11 anos";"7 a 17 anos";"9 a 12 anos";"10 a 11 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 59 anos";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 anos e mais";"65 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Ignorado";" Total"
"292740 Salvador";"4945460";"2921995";"287598";"171144";"573488";"571";"274";"447";"134";"3164";"1829";"61084";"61251";"18689";"1345";"3126";"47098";"505262";"5753";"30";"9";"368227";"999";"51522";"36";"30";"20520";"43811";"23952";"942";"225";"47151";"243";"105715";"58453";"123758";"96782";"156";"106534";"73091";"270";"58269";"271221";"234244";"66803";"524";"52871";"992767";"178247";"2032892";"383232";"297699";"828694";"4352";"16133983"
"310620 Belo Horizonte";"4302230";"2390982";"129212";"89458";"379346";"264";"74";"145";"52";"1427";"1790";"80970";"59241";"24046";"1299";"3797";"62533";"586782";"8561";"1548";"0";"71484";"1145";"6993";"0";"0";"7681";"13819";"38828";"1680";"0";"91589";"589";"135945";"40614";"151743";"138859";"905";"140229";"126703";"1520";"98947";"229796";"376312";"150556";"0";"42361";"544395";"33798";"1280642";"446106";"438848";"674413";"3229";"13413486"
"320530 Vitória";"779025";"420871";"35352";"24376";"107535";"94";"47";"20";"27";"753";"786";"14423";"13705";"4717";"1663";"5259";"6456";"28102";"3379";"154";"3";"55290";"773";"2272";"11";"42";"5139";"2652";"5952";"1402";"1042";"11712";"212";"24924";"28035";"26533";"22168";"0";"23515";"19621";"0";"14775";"53985";"122560";"33012";"34";"11585";"129224";"21816";"402585";"113544";"41025";"102713";"1260";"2726160"
"330455 Rio de Janeiro";"12210351";"6552417";"402654";"248760";"1579704";"780";"439";"397";"293";"1896";"2110";"140585";"134844";"47010";"9045";"15439";"16614";"722594";"11052";"279";"36";"557830";"1540";"7121";"209";"102";"25621";"6473";"39947";"1906";"4067";"75100";"1012";"220657";"64955";"243892";"173747";"270";"131431";"103637";"552";"87995";"688531";"1052406";"126404";"1039";"50197";"1659719";"222205";"3335833";"1734761";"230744";"1905301";"19541";"34872044"
"355030 São Paulo";"24237809";"13772365";"961599";"686483";"2846033";"4275";"2682";"1700";"856";"9111";"9839";"344393";"331171";"119698";"6937";"123647";"239078";"2767511";"78437";"4485";"681";"651431";"3973";"42034";"287";"1037";"106766";"38794";"401162";"11496";"18560";"447923";"1805";"876118";"242463";"1005969";"709266";"3650";"640085";"519848";"6896";"417967";"1862018";"4111755";"678894";"1474";"101371";"3121907";"376834";"8467143";"1525930";"569937";"3093033";"5040";"76611656"
"410690 Curitiba";"3665161";"1802073";"110603";"66806";"499482";"207";"140";"53";"52";"2444";"5532";"61889";"51908";"19011";"1214";"18229";"15139";"59864";"7598";"696";"64";"235672";"495";"3451";"10";"18";"12559";"2421";"13228";"1932";"1418";"26390";"139";"61104";"26178";"78424";"66033";"12";"73197";"67435";"46";"57123";"142289";"159277";"136966";"2";"38509";"350079";"67648";"1253673";"311148";"49252";"359039";"5120";"9988452"
"420540 Florianópolis";"751928";"396162";"33148";"21448";"116160";"90";"7";"70";"58";"492";"600";"10007";"9961";"3489";"367";"3334";"4553";"49406";"2126";"110";"9";"31342";"162";"1257";"1";"1";"2615";"1028";"4032";"400";"217";"13915";"45";"27082";"12925";"30490";"22944";"11";"22150";"17949";"32";"14330";"62317";"68464";"23032";"1";"3284";"83205";"12665";"315756";"56344";"40356";"135701";"1812";"2409390"
"431490 Porto Alegre";"2548135";"1256247";"134910";"77584";"334507";"443";"158";"94";"79";"1518";"1090";"27108";"36087";"8987";"2534";"5034";"8080";"100667";"3719";"491";"0";"136058";"432";"2340";"1";"1";"5232";"2176";"8944";"1618";"227";"19716";"229";"41209";"29371";"35015";"28811";"1";"31047";"24599";"0";"18620";"176874";"206469";"45778";"282";"19244";"244000";"63746";"707452";"270183";"23416";"302925";"3948";"6997436"
"500270 Campo Grande";"1876675";"995712";"87713";"62808";"282480";"108";"34";"45";"19";"882";"683";"22479";"27149";"9259";"1697";"3382";"10108";"105084";"4124";"265";"39";"98197";"142";"2445";"23";"65";"9702";"1810";"11833";"224";"383";"22280";"89";"44812";"14808";"40987";"30661";"1";"25821";"19727";"6";"16217";"130104";"191983";"12722";"204";"9689";"240976";"55667";"580934";"92248";"31300";"262231";"2919";"5441955"
"510340 Cuiabá";"1338812";"655858";"87834";"46504";"200164";"268";"85";"46";"62";"260";"611";"12619";"27644";"5707";"765";"1718";"3957";"60789";"1474";"72";"0";"112239";"230";"1054";"0";"0";"11049";"1135";"8041";"46";"5";"15123";"262";"23434";"10198";"22456";"15799";"0";"13024";"8624";"0";"6435";"62489";"60297";"12598";"176";"14702";"282219";"48593";"468288";"85911";"13066";"158262";"3278";"3904282"
"520870 Goiânia";"3055062";"1457515";"132692";"81276";"398860";"287";"179";"244";"106";"1457";"1274";"32694";"28387";"10807";"1160";"20695";"23481";"143941";"9787";"695";"202";"274561";"650";"6079";"190";"454";"3623";"5737";"4397";"1972";"1826";"15822";"331";"42107";"33280";"48384";"31806";"28";"28619";"22591";"110";"17060";"112639";"174328";"43051";"51";"15419";"421134";"42557";"890146";"173345";"39193";"614274";"5730";"8472295"
"530010 Brasília";"6599986";"3376205";"223439";"151826";"515957";"619";"170";"220";"101";"1717";"1921";"92043";"88187";"25058";"1557";"20686";"127398";"464888";"12572";"1524";"61";"349866";"333";"7167";"39";"54";"29635";"6905";"45085";"2050";"1331";"106710";"177";"220719";"47628";"215995";"158339";"27";"129759";"89542";"50";"62977";"169616";"321650";"73655";"545";"88258";"1027629";"132057";"1688190";"554344";"170189";"632135";"7210";"18046001"
"Ignorado";"323159451";"178770449";"18051911";"11832654";"43336758";"39235";"23191";"17182";"11445";"166442";"194070";"4752062";"6951930";"1622570";"268701";"227126";"1290950";"25036144";"374885";"16119";"787";"19043805";"49578";"265345";"647";"993";"1446357";"319610";"2189811";"33854";"30585";"3029590";"14114";"5686483";"1372437";"6100393";"4539674";"5929";"4194593";"3359555";"10032";"2723600";"15793623";"22697122";"6191301";"25907";"3283216";"47153747";"18720201";"100790563";"24871384";"6778230";"44698245";"438158";"962002744"
"Total";"423638263";"232112262";"22996562";"14904026";"55765798";"51771";"30308";"22856";"14643";"207134";"237142";"6063791";"8279929";"2063861";"317030";"471300";"1916156";"32140957";"545835";"27152";"1990";"24504098";"65084";"413709";"1501";"3510";"1878508";"464104";"3029293";"62722";"64389";"4390039";"20589";"8408380";"2122924";"8995957";"6661056";"11203";"6101850";"4855184";"19938";"3907120";"21078593";"31281237";"7988799";"35170";"4235845";"62729735";"21370327";"133562424";"32930664";"9105657";"58772120";"570378";"1261450873"
